_c0,event_name,event_id,event_type,trans_min,trans_max,presale_start,presale_end,pub_sale_start,pub_sale_end,event_date,event_promoter,event_attraction_ids,resaleStatus,status
0,Memphis Grizzlies vs. Phoenix Suns,G5viZ983ugpCP,Basketball,60.0,656.0,2022-08-17T20:00:00Z,2022-08-17T21:59:00Z,2022-08-17T22:00:00Z,2022-12-28T03:00:00Z,2022-12-27T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171Kg7, K8vZ9171oZf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
1,Phoenix Suns vs. Memphis Grizzlies,G5v0Z98m2Ro4N,Basketball,79.0,4750.0,2022-08-17T19:30:00Z,2022-08-29T20:00:00Z,2022-08-29T20:00:00Z,2022-12-24T05:00:00Z,2022-12-23T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171oZf, K8vZ9171Kg7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
2,Golden State Warriors vs. Phoenix Suns,G5vYZ98wrHxhM,Basketball,115.0,1575.0,2022-08-17T19:00:00Z,2022-10-19T02:00:00Z,2022-09-15T17:00:00Z,2023-01-11T03:30:00Z,2023-01-10T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171oa0, K8vZ9171oZf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
3,Minnesota Timberwolves vs. Phoenix Suns,Z7r9jZ1Ad4s0a,Basketball,0.0,0.0,NA,NA,1900-01-01T18:00:00Z,2023-01-14T01:00:00Z,2023-01-13T00:00:00.000-05:00,NA,"K8vZ9171o10, K8vZ9171oZf",UNKNOWN,UNKNOWN
4,Phoenix Suns vs. Miami Heat,G5v0Z98m2fo8J,Basketball,72.0,3300.0,2022-08-17T19:30:00Z,2022-08-29T20:00:00Z,2022-08-29T20:00:00Z,2023-01-07T05:00:00Z,2023-01-06T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171oZf, K8vZ9171oZ7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
5,Milwaukee Bucks v. Phoenix Suns,vvG1jZ9KbsbPCD,Basketball,34.0,2940.0,2022-09-26T15:00:00Z,2022-10-01T04:59:00Z,2022-10-01T15:00:00Z,2023-02-26T20:00:00Z,2023-02-26T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ91718TV, K8vZ9171oZf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
6,Brooklyn Nets vs. Phoenix Suns,Z7r9jZ1Ad4s-N,Basketball,0.0,0.0,NA,NA,1900-01-01T18:00:00Z,2023-02-08T00:30:00Z,2023-02-07T00:00:00.000-05:00,NA,"K8vZ9171o5f, K8vZ9171oZf",UNKNOWN,UNKNOWN
7,Memphis Grizzlies vs. Phoenix Suns,G5viZ983uBk29,Basketball,40.0,385.0,2022-08-17T20:00:00Z,2022-08-17T21:59:00Z,2022-08-17T22:00:00Z,2023-01-17T01:00:00Z,2023-01-16T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171Kg7, K8vZ9171oZf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
8,Phoenix Suns vs. Brooklyn Nets,G5v0Z98m24-oh,Basketball,59.0,3150.0,2022-08-17T19:30:00Z,2022-08-29T20:00:00Z,2022-08-29T20:00:00Z,2023-01-20T05:00:00Z,2023-01-19T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171oZf, K8vZ9171o5f",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
9,Golden State Warriors vs. Phoenix Suns,G5vYZ98wL73qQ,Basketball,115.0,1575.0,2022-08-17T19:00:00Z,2022-10-19T02:00:00Z,2022-09-15T17:00:00Z,2023-03-14T02:30:00Z,2023-03-13T00:00:00.000-04:00,NBA REGULAR SEASON,"K8vZ9171oa0, K8vZ9171oZf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
